log_datetime,log_date,log_time,temperature,feels_like,humidity,weather_code,precipitation,cloud_cover,wind_speed,wind_direction
2025-07-16T08:30,2025/07/16,08:30,16.8,16.1,77,Partly cloudy,0.0,54,10.2,18
2025-07-16T09:45,2025/07/16,09:45,17.6,16.6,74,Partly cloudy,0.0,75,13.0,19
2025-07-16T10:30,2025/07/16,10:30,18.4,18.0,72,Partly cloudy,0.0,59,12.8,22
2025-07-16T11:45,2025/07/16,11:45,19.8,20.2,64,Partly cloudy,0.0,55,10.5,22
2025-07-16T12:30,2025/07/16,12:30,20.4,21.2,62,Partly cloudy,0.0,48,8.9,27
2025-07-16T13:45,2025/07/16,13:45,21.4,22.3,59,Partly cloudy,0.0,71,6.9,39
2025-07-16T14:00,2025/07/16,14:00,21.5,22.2,58,Overcast,0.0,88,6.6,41
2025-07-16T14:45,2025/07/16,14:45,21.8,23.0,59,Partly cloudy,0.0,70,1.0,225
2025-07-16T15:30,2025/07/16,15:30,21.5,21.5,62,Overcast,0.0,87,8.2,229
2025-07-16T16:30,2025/07/16,16:30,21.1,20.8,67,Overcast,0.0,75,13.6,238
2025-07-16T17:45,2025/07/16,17:45,21.2,21.2,66,Partly cloudy,0.0,39,10.7,237
2025-07-16T18:30,2025/07/16,18:30,20.9,21.0,67,Mainly clear,0.0,23,9.3,234
2025-07-16T19:45,2025/07/16,19:45,19.8,20.2,74,Partly cloudy,0.0,48,8.7,197
2025-07-16T20:30,2025/07/16,20:30,18.7,19.2,79,Overcast,0.0,94,7.9,196
2025-07-16T21:30,2025/07/16,21:30,17.1,18.0,87,Overcast,0.0,99,5.1,176
2025-07-16T22:30,2025/07/16,22:30,15.9,17.1,91,Overcast,0.0,90,2.5,98
